ID,time,assessor_type,feedback_provider,student,assessor,record_id,unmatch,department,log_letter_count,log_date_count,log_id,item,person,value,feedback_letter_count
04_001,2024-10-07T11:59:32Z,faculty,f026,s038,4,1,0,Diabetes and Endocrinology,514,4,1,criteria.based,ai,5,426
04_001,2024-10-07T11:59:32Z,faculty,f026,s038,4,1,0,Diabetes and Endocrinology,514,4,1,criteria.based,supervisor,4,82
04_001,2024-10-07T11:59:32Z,faculty,f026,s038,4,1,0,Diabetes and Endocrinology,514,4,1,clear.direction,ai,5,426
04_001,2024-10-07T11:59:32Z,faculty,f026,s038,4,1,0,Diabetes and Endocrinology,514,4,1,clear.direction,supervisor,4,82
04_001,2024-10-07T11:59:32Z,faculty,f026,s038,4,1,0,Diabetes and Endocrinology,514,4,1,accurate,ai,4,426
04_001,2024-10-07T11:59:32Z,faculty,f026,s038,4,1,0,Diabetes and Endocrinology,514,4,1,accurate,supervisor,4,82
04_001,2024-10-07T11:59:32Z,faculty,f026,s038,4,1,0,Diabetes and Endocrinology,514,4,1,prioritization,ai,5,426
04_001,2024-10-07T11:59:32Z,faculty,f026,s038,4,1,0,Diabetes and Endocrinology,514,4,1,prioritization,supervisor,4,82
04_001,2024-10-07T11:59:32Z,faculty,f026,s038,4,1,0,Diabetes and Endocrinology,514,4,1,supportive,ai,5,426
04_001,2024-10-07T11:59:32Z,faculty,f026,s038,4,1,0,Diabetes and Endocrinology,514,4,1,supportive,supervisor,5,82
04_002,2024-10-06T23:49:00Z,faculty,f034,s033,4,2,0,Thoracic Surgery Unit,461,2,2,criteria.based,ai,5,406
04_002,2024-10-06T23:49:00Z,faculty,f034,s033,4,2,0,Thoracic Surgery Unit,461,2,2,criteria.based,supervisor,2,25
04_002,2024-10-06T23:49:00Z,faculty,f034,s033,4,2,0,Thoracic Surgery Unit,461,2,2,clear.direction,ai,5,406
04_002,2024-10-06T23:49:00Z,faculty,f034,s033,4,2,0,Thoracic Surgery Unit,461,2,2,clear.direction,supervisor,1,25
04_002,2024-10-06T23:49:00Z,faculty,f034,s033,4,2,0,Thoracic Surgery Unit,461,2,2,accurate,ai,5,406
04_002,2024-10-06T23:49:00Z,faculty,f034,s033,4,2,0,Thoracic Surgery Unit,461,2,2,accurate,supervisor,2,25
04_002,2024-10-06T23:49:00Z,faculty,f034,s033,4,2,0,Thoracic Surgery Unit,461,2,2,prioritization,ai,5,406
04_002,2024-10-06T23:49:00Z,faculty,f034,s033,4,2,0,Thoracic Surgery Unit,461,2,2,prioritization,supervisor,1,25
04_002,2024-10-06T23:49:00Z,faculty,f034,s033,4,2,0,Thoracic Surgery Unit,461,2,2,supportive,ai,4,406
04_002,2024-10-06T23:49:00Z,faculty,f034,s033,4,2,0,Thoracic Surgery Unit,461,2,2,supportive,supervisor,2,25
04_003,2024-10-07T12:03:13Z,faculty,f011,s037,4,3,0,Paediatrics,739,5,3,criteria.based,ai,5,284
04_003,2024-10-07T12:03:13Z,faculty,f011,s037,4,3,0,Paediatrics,739,5,3,criteria.based,supervisor,5,200
04_003,2024-10-07T12:03:13Z,faculty,f011,s037,4,3,0,Paediatrics,739,5,3,clear.direction,ai,5,284
04_003,2024-10-07T12:03:13Z,faculty,f011,s037,4,3,0,Paediatrics,739,5,3,clear.direction,supervisor,5,200
04_003,2024-10-07T12:03:13Z,faculty,f011,s037,4,3,0,Paediatrics,739,5,3,accurate,ai,5,284
04_003,2024-10-07T12:03:13Z,faculty,f011,s037,4,3,0,Paediatrics,739,5,3,accurate,supervisor,5,200
04_003,2024-10-07T12:03:13Z,faculty,f011,s037,4,3,0,Paediatrics,739,5,3,prioritization,ai,5,284
04_003,2024-10-07T12:03:13Z,faculty,f011,s037,4,3,0,Paediatrics,739,5,3,prioritization,supervisor,5,200
04_003,2024-10-07T12:03:13Z,faculty,f011,s037,4,3,0,Paediatrics,739,5,3,supportive,ai,5,284
04_003,2024-10-07T12:03:13Z,faculty,f011,s037,4,3,0,Paediatrics,739,5,3,supportive,supervisor,5,200
04_004,2024-10-07T11:53:15Z,faculty,f008,s011,4,4,0,Thoracic Surgery Unit,461,2,2,criteria.based,ai,4,494
04_004,2024-10-07T11:53:15Z,faculty,f008,s011,4,4,0,Thoracic Surgery Unit,461,2,2,criteria.based,supervisor,4,119
04_004,2024-10-07T11:53:15Z,faculty,f008,s011,4,4,0,Thoracic Surgery Unit,461,2,2,clear.direction,ai,4,494
04_004,2024-10-07T11:53:15Z,faculty,f008,s011,4,4,0,Thoracic Surgery Unit,461,2,2,clear.direction,supervisor,5,119
04_004,2024-10-07T11:53:15Z,faculty,f008,s011,4,4,0,Thoracic Surgery Unit,461,2,2,accurate,ai,4,494
04_004,2024-10-07T11:53:15Z,faculty,f008,s011,4,4,0,Thoracic Surgery Unit,461,2,2,accurate,supervisor,5,119
04_004,2024-10-07T11:53:15Z,faculty,f008,s011,4,4,0,Thoracic Surgery Unit,461,2,2,prioritization,ai,4,494
04_004,2024-10-07T11:53:15Z,faculty,f008,s011,4,4,0,Thoracic Surgery Unit,461,2,2,prioritization,supervisor,5,119
04_004,2024-10-07T11:53:15Z,faculty,f008,s011,4,4,0,Thoracic Surgery Unit,461,2,2,supportive,ai,4,494
04_004,2024-10-07T11:53:15Z,faculty,f008,s011,4,4,0,Thoracic Surgery Unit,461,2,2,supportive,supervisor,5,119
04_005,2024-10-07T12:19:48Z,faculty,f038,s039,4,5,0,Surgical Unit,500,3,4,criteria.based,ai,5,372
04_005,2024-10-07T12:19:48Z,faculty,f038,s039,4,5,0,Surgical Unit,500,3,4,criteria.based,supervisor,5,144
04_005,2024-10-07T12:19:48Z,faculty,f038,s039,4,5,0,Surgical Unit,500,3,4,clear.direction,ai,4,372
04_005,2024-10-07T12:19:48Z,faculty,f038,s039,4,5,0,Surgical Unit,500,3,4,clear.direction,supervisor,4,144
04_005,2024-10-07T12:19:48Z,faculty,f038,s039,4,5,0,Surgical Unit,500,3,4,accurate,ai,4,372
04_005,2024-10-07T12:19:48Z,faculty,f038,s039,4,5,0,Surgical Unit,500,3,4,accurate,supervisor,4,144
04_005,2024-10-07T12:19:48Z,faculty,f038,s039,4,5,0,Surgical Unit,500,3,4,prioritization,ai,4,372
04_005,2024-10-07T12:19:48Z,faculty,f038,s039,4,5,0,Surgical Unit,500,3,4,prioritization,supervisor,4,144
04_005,2024-10-07T12:19:48Z,faculty,f038,s039,4,5,0,Surgical Unit,500,3,4,supportive,ai,4,372
04_005,2024-10-07T12:19:48Z,faculty,f038,s039,4,5,0,Surgical Unit,500,3,4,supportive,supervisor,5,144
04_006,2024-10-10T21:54:14Z,faculty,f011,s012,4,6,0,Paediatrics,1258,4,5,criteria.based,ai,4,423
04_006,2024-10-10T21:54:14Z,faculty,f011,s012,4,6,0,Paediatrics,1258,4,5,criteria.based,supervisor,4,140
04_006,2024-10-10T21:54:14Z,faculty,f011,s012,4,6,0,Paediatrics,1258,4,5,clear.direction,ai,4,423
04_006,2024-10-10T21:54:14Z,faculty,f011,s012,4,6,0,Paediatrics,1258,4,5,clear.direction,supervisor,4,140
04_006,2024-10-10T21:54:14Z,faculty,f011,s012,4,6,0,Paediatrics,1258,4,5,accurate,ai,5,423
04_006,2024-10-10T21:54:14Z,faculty,f011,s012,4,6,0,Paediatrics,1258,4,5,accurate,supervisor,5,140
04_006,2024-10-10T21:54:14Z,faculty,f011,s012,4,6,0,Paediatrics,1258,4,5,prioritization,ai,4,423
04_006,2024-10-10T21:54:14Z,faculty,f011,s012,4,6,0,Paediatrics,1258,4,5,prioritization,supervisor,4,140
04_006,2024-10-10T21:54:14Z,faculty,f011,s012,4,6,0,Paediatrics,1258,4,5,supportive,ai,5,423
