"provider","category","Theme","Sub_Theme","Code","Text","refs"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","The structure of PNP","- AI_18_074:I think the structure of starting with positive words, inserting points for improvement in the middle, and ending with positive words is good. It would be good to add line breaks where appropriate.","AI_18_074"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Pointing out what is being done well","- AI_23_151:I thought it was wonderful that the beginning of the feedback praised the effort made to fill in the record items. I felt that having this one process made it easier to listen to specific improvement measures. Also, all of them are feasible.
- AI_23_164:Overall, I thought it was very useful because it promoted concretization. In addition, it praised the fact that they were keeping a record every day.","AI_23_151, AI_23_164"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Good balance as feedback","- AI_07_063:It goes from positive to constructive, there are specific examples, priorities are also pointed out, and the points that are pointed out are not too many, so I think it is good feedback.
- AI_08_072:I think the feedback was very specific and good.
- AI_08_073:I think the feedback was good because it was specific and summarized in three points.
- AI_08_074:I think the feedback was good because it was specific and included words of support for the student.
- AI_08_077:I think this is good feedback that positively supports medical students.
- AI_09_086:It is very specific and detailed. It is written in the classic P-N-P format. However, it is basically feedback on how to write a log, and I don't think it necessarily leads to changes in the student's behavior.","AI_07_063, AI_08_072, AI_08_073, AI_08_074, AI_08_077, AI_09_086"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Compliance with criteria as feedback","- AI_07_060:This is a well-written report that starts with positive feedback, is specific and constructive, and doesn't have too many points.
- AI_07_061:It correctly points out the uneven quality of the writing, and it correctly responds to the “standard” of recording things on a daily basis. However, in this report, I think that the positive points about what was learned on February 14th should be properly identified, but it is summarized in the abstract phrase “wonderful practice record”, and in terms of this report, there is a lack of positive feedback.
- AI_07_063:It goes from positive to constructive, there are specific examples, priorities are also pointed out, and the points that are pointed out are not too many, so I think it is good feedback.","AI_07_060, AI_07_061, AI_07_063"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","strict adherence to feedback criteria","- AI_09_087:Although the feedback is written in a large amount and in accordance with the criteria, it is feedback on how to write a log.
- AI_09_088:Although the feedback is written in accordance with the criteria for writing a log, the original log entry is quite substantial, so the feedback seems to be nitpicking.
- AI_09_095:The feedback is in line with the portfolio. The feedback is also specific.
- AI_09_096:The content of the feedback is positive, and specific, but it seems to focus on how to write the portfolio
- AI_11_121:The reviewer did not point out the typo “resuscitation cancellation”. They pointed out the next task in a safe way. Compared to feedback1, there was no emotional description, and to put it nicely, it was accurate, to put it normally, it was businesslike, and to put it badly, it was flat. I thought that they had set the average score and correct answers as the standard and had sufficiently pointed out the inferior parts from there.
- AI_11_122:The reviewer gave feedback in accordance with the standard, such as pointing out the fact that there were days without descriptions. It was an average-like review. There was no description about the attitude during the practical training.
- AI_11_126:The 24-year-old male student's description is missing the last part, but perhaps this is because he has been discharged from hospital and there is no record of this. Although we cannot tell from the record what the background information is, based on this information, should the feedback be “Since a plan for discharge was in place, a record of this is necessary”? The evaluation is in line with the criteria.
- AI_11_128:The description is based on a thorough reference to the record and evaluation criteria. As the original record was not of very high quality, it seems that the many points for improvement have been properly identified.
- AI_11_130:The feedback is based on the criteria. It indicates what should be done next, and is feedback for future behavioral change.
- AI_11_131:It properly states the points that should be corrected based on the record. However, it does not point out that the content of the patient list is the same every time.
- AI_11_132:The evaluation is based on the feedback points in the regulations. There is a sense of reality in the feedback2 that is based on clinical facts, but this is not the case here.
- AI_12_135:The comments on how to write the portfolio are specific and good, but I think it would be better if there was feedback on the clinical practice.
- AI_12_136:I think the supportive words that help the students to maintain their motivation are very good. I don't think there are any specific points for improvement in the feedback.","AI_09_087, AI_09_088, AI_09_095, AI_09_096, AI_11_121, AI_11_122, AI_11_126, AI_11_128, AI_11_130, AI_11_131, AI_11_132, AI_12_135, AI_12_136"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","assistance with putting experiences into words","- AI_13_150:Good points: The report is being given feedback on the specific methods used to write it. The advice is to make the details of the experience more specific in order to deepen the learning from the practical training. Bad points: The focus seems to be on making the report look presentable. It is unreasonable to ask for more specific details on the 25th, which is written as an absence. The setting of using the example of a newborn patient to deepen understanding of the indications and management methods for CPAP is also unreasonable as an approach after the practical training has finished.","AI_13_150"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Presentation of specific examples","- AI_04_009:The impression is that there are few details, but there are examples given. The good points are that it also includes detailed descriptions and gives specific examples. There are no points that need to be improved.
- AI_19_091:As it seems that there are only two days' worth of records, I feel that the feedback “It is very good that you are keeping a record every day” is not accurate. Along with the suggestion that the student's record should be written in more detail, the feedback also gives specific examples of what kind of perspective should be taken when writing the record, which I think will be helpful for the student.
- AI_21_131:The evaluation is based on the “criteria”. The main point is to improve the student records. It is good that it shows the points for improvement using specific examples. Although it encourages the description of clinical aspects, it seems that there is a lack of direct clinical knowledge and clues in terms of learning clinical medicine.
- AI_21_132:I felt that the evaluation was based on “criteria”. It was good that the good points were clearly indicated. It was good that the learning effect was improved by encouraging students to write specific descriptions even for terms that they were just listing. Overall, I got the impression that it was a form of encouraging students to learn through improving the way they write in their student records.","AI_04_009, AI_19_091, AI_21_131, AI_21_132"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Advice with specific examples","- AI_19_085:I think it's good that the feedback includes specific examples of the content that should be included.
- AI_19_087:The point of showing specific examples to show the areas for improvement in the student's reflection is easy to understand.","AI_19_085, AI_19_087"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Advice with specific examples","- AI_20_115:I felt that the feedback was given in a way that praised the record, but also emphasized the need to meet the criteria for the record, even though the record was thin on content. I think it would be better if the suggestions for revision were not given in specific sentences.","AI_20_115"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","suggestions for improvements with specific examples","- AI_21_120:The fact that it gives words of encouragement to the students is good. The fact that it explains how to record and how to write in depth using specific examples is good.","AI_21_120"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Detailed advice with specific examples","- AI_23_153:I was surprised that such detailed feedback could be given regarding the setting of the place for explaining the patient's condition.","AI_23_153"
