"provider","Code","Text","refs"
"AI","The structure of PNP","- AI_18_074:I think the structure of starting with positive words, inserting points for improvement in the middle, and ending with positive words is good. It would be good to add line breaks where appropriate.","AI_18_074"
"AI","Vague advice","- AI_10_101:Generally good, but it is unclear whether the goal of “making a record every day” has been achieved so far, so it is unclear whether this is appropriate feedback.","AI_10_101"
"AI","Pointing out what is being done well","- AI_23_151:I thought it was wonderful that the beginning of the feedback praised the effort made to fill in the record items. I felt that having this one process made it easier to listen to specific improvement measures. Also, all of them are feasible.
- AI_23_164:Overall, I thought it was very useful because it promoted concretization. In addition, it praised the fact that they were keeping a record every day.","AI_23_151, AI_23_164"
"AI","Vague pointing out of good points","- AI_20_108:The points that are praised are too abstract, and most of the content is directive. It would be better if there was advice on the content related to the practical training, rather than on how to write the record.","AI_20_108"
"supervisor","Lack of pointing out what is good","- SU_06_051:The things that were not done are evaluated, and suggestions for improvement are given, but there is no specific mention of the things that were done well.
- SU_11_117:Compared to feedback1, this is brief and less detailed. There are few comments praising the good points. On the other hand, it mentions the limitations and the boundaries of the evaluation tool, which are unlikely to be covered in textbooks for students, and I think it is useful information from the perspective of practical clinical training. Perhaps it is a quiet supervisor who only tells you the important things.","SU_06_051, SU_11_117"
"supervisor","feeling of being looked after","- SU_20_109:The feedback is positive and it feels like the individual is being looked at and taught. I felt that it was educational to be referred to future issues.","SU_20_109"
"AI","Inclusion of escape sequences","- AI_18_083:I don't think the advice is bad. However, I am concerned about the mechanical nature of the writing and the mysterious extra characters.","AI_18_083"
"AI","Good balance as feedback","- AI_07_063:It goes from positive to constructive, there are specific examples, priorities are also pointed out, and the points that are pointed out are not too many, so I think it is good feedback.
- AI_08_072:I think the feedback was very specific and good.
- AI_08_073:I think the feedback was good because it was specific and summarized in three points.
- AI_08_074:I think the feedback was good because it was specific and included words of support for the student.
- AI_08_077:I think this is good feedback that positively supports medical students.
- AI_09_086:It is very specific and detailed. It is written in the classic P-N-P format. However, it is basically feedback on how to write a log, and I don't think it necessarily leads to changes in the student's behavior.","AI_07_063, AI_08_072, AI_08_073, AI_08_074, AI_08_077, AI_09_086"
"AI","Compliance with criteria as feedback","- AI_07_060:This is a well-written report that starts with positive feedback, is specific and constructive, and doesn't have too many points.
- AI_07_061:It correctly points out the uneven quality of the writing, and it correctly responds to the “standard” of recording things on a daily basis. However, in this report, I think that the positive points about what was learned on February 14th should be properly identified, but it is summarized in the abstract phrase “wonderful practice record”, and in terms of this report, there is a lack of positive feedback.
- AI_07_063:It goes from positive to constructive, there are specific examples, priorities are also pointed out, and the points that are pointed out are not too many, so I think it is good feedback.","AI_07_060, AI_07_061, AI_07_063"
"supervisor","Lack of elements as feedback","- SU_05_028:Although it is a supportive comment, it is not very substantial.
- SU_14_010:It was like a communication notebook, and it was not feedback.
- SU_14_011:It was administrative communication, and it was not feedback.
- SU_14_015:It feels like a letter of impressions from the teacher to the student, and not like feedback.
- SU_16_045:The impression is that it is just a note. I think it is good that supportive content is included, but there are not many specific descriptions of the record, so I would like to see more detailed feedback.
- SU_22_134:The advice is not tailored to the individual student","SU_05_028, SU_14_010, SU_14_011, SU_14_015, SU_16_045, SU_22_134"
"AI","Lack of appropriateness of feedback content","- AI_07_065:I think that the positive feedback is well-targeted and will help to motivate the students. The constructive feedback is not well-targeted and is not very meaningful.","AI_07_065"
"AI","strict adherence to feedback criteria","- AI_09_087:Although the feedback is written in a large amount and in accordance with the criteria, it is feedback on how to write a log.
- AI_09_088:Although the feedback is written in accordance with the criteria for writing a log, the original log entry is quite substantial, so the feedback seems to be nitpicking.
- AI_09_095:The feedback is in line with the portfolio. The feedback is also specific.
- AI_09_096:The content of the feedback is positive, and specific, but it seems to focus on how to write the portfolio
- AI_11_121:The reviewer did not point out the typo “resuscitation cancellation”. They pointed out the next task in a safe way. Compared to feedback1, there was no emotional description, and to put it nicely, it was accurate, to put it normally, it was businesslike, and to put it badly, it was flat. I thought that they had set the average score and correct answers as the standard and had sufficiently pointed out the inferior parts from there.
- AI_11_122:The reviewer gave feedback in accordance with the standard, such as pointing out the fact that there were days without descriptions. It was an average-like review. There was no description about the attitude during the practical training.
- AI_11_126:The 24-year-old male student's description is missing the last part, but perhaps this is because he has been discharged from hospital and there is no record of this. Although we cannot tell from the record what the background information is, based on this information, should the feedback be “Since a plan for discharge was in place, a record of this is necessary”? The evaluation is in line with the criteria.
- AI_11_128:The description is based on a thorough reference to the record and evaluation criteria. As the original record was not of very high quality, it seems that the many points for improvement have been properly identified.
- AI_11_130:The feedback is based on the criteria. It indicates what should be done next, and is feedback for future behavioral change.
- AI_11_131:It properly states the points that should be corrected based on the record. However, it does not point out that the content of the patient list is the same every time.
- AI_11_132:The evaluation is based on the feedback points in the regulations. There is a sense of reality in the feedback2 that is based on clinical facts, but this is not the case here.
- AI_12_135:The comments on how to write the portfolio are specific and good, but I think it would be better if there was feedback on the clinical practice.
- AI_12_136:I think the supportive words that help the students to maintain their motivation are very good. I don't think there are any specific points for improvement in the feedback.","AI_09_087, AI_09_088, AI_09_095, AI_09_096, AI_11_121, AI_11_122, AI_11_126, AI_11_128, AI_11_130, AI_11_131, AI_11_132, AI_12_135, AI_12_136"
"supervisor","evoking professionalism","- SU_23_152:From a clinical perspective, I think the feedback focused on two points: the change in the patient's condition over time and the anxiety associated with being in hospital, and I think this helped to stimulate the student's professionalism.
- SU_23_158:It is a voice that cultivates the professionalism of doctors.","SU_23_152, SU_23_158"
"AI","Lack of specificity in positive feedback","- AI_07_052:There is a little positive feedback at the beginning, but the corrective feedback is too detailed, and it ends up blurring the positive feedback. If you are going to write something so specific and corrective, I think it would be better to give specific examples of what is good.
- AI_07_061:It correctly points out the uneven quality of the writing, and it correctly responds to the “standard” of recording things on a daily basis. However, in this report, I think that the positive points about what was learned on February 14th should be properly identified, but it is summarized in the abstract phrase “wonderful practice record”, and in terms of this report, there is a lack of positive feedback.
- AI_07_062:I think it would be better to also specifically mention the positive points. There are quite a few good points, but I get the impression that they were glossed over. However, the writing gives the impression of support, so I think the students will be motivated to read it, but I thought the feedback lacked a point of strengthening the points that were done well.","AI_07_052, AI_07_061, AI_07_062"
"AI","Lack of positive feedback","- AI_04_002:I get the impression that he is trying to motivate students to “communicate” by separating the items into different categories. I feel that it would be more useful if he included more detailed examples of what students should learn. I feel that there are too many areas for improvement, and not enough praise for what students have learned and what they have written.","AI_04_002"
"AI","Inclusion of markdown formatting","- AI_08_083:Although the content is good, the part where it is divided into paragraphs is a bit difficult to read because of a bug or character corruption.","AI_08_083"
"supervisor","Descriptions that are conscious of recruitment","- SU_05_022:Rather than feedback on the student's notes or practical training content, the content is more focused on recruiting students to the department. On the other hand, from the student's point of view, there is a good chance that the content will be more memorable than the usual feedback. If we consider that the role of the supervising doctor is not only to encourage learning, but also to provide role models and information on detailed career paths, then this feedback may have an important message.","SU_05_022"
